WOS number,Measured GCs,Measured fitness,Fitness implications of GCs,usable,value,Notes,Authors,Year,Journal,Article,Keyword set
1,y,n,y,y,1,,Seltmann,2022,General and comparative endocrinology,Sex-specific links between the social landscape and faecal glucocorticoid metabolites in semi-captive Asian elephants,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
2,y,n,y,y,1,,Lamczyk,2022,Human-wildlife interactions,No difference in corticosterone concentrations between Missouri three-toed box turtles living in an urban and a rural site,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
3,y,n,y,y,1,,Barja,2021,Conservation physiology,Soil pollution by heavy metals correlates with levels of faecal glucocorticoid metabolites of a fossorial amphisbaenian reptile,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
4,NA,NA,NA,n,1,Not relevant; review article,Shultz,2021,Ecology and evolution,"Untapped potential of physiology, behaviour and immune markers to predict range dynamics and marginality",glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
5,y,y,y,y,1,,Shidemantle,2022,Animal conservation,Are glucocorticoids good indicators of disturbance across populations that exhibit cryptic variation in contaminant tolerance?,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
6,NA,NA,NA,n,1,Not relevant; experiment,Tornabene,2021,Journal of experimental zoology part A,Corticosterone mediates a growth-survival tradeoff for an amphibian exposed to increased salinity,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
7,y,n,n,y,1,,Hinchcliffe,2021,Journal of wildlife management,Fecal Glucocorticoid Metabolites as Biomarkers in Equids: Assay Choice Matters,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
8,y,y,y,y,1,,Rasmussen,2021,BMC ecology and evolution,"An exploratory investigation of glucocorticoids, personality and survival rates in wild and rehabilitated hedgehogs",glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
9,y,n,y,y,1,,Whipple,2021,Conservation physiology,Temporal vs. spatial variation in stress-associated metabolites within a population of climate-sensitive small mammals,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
10,y,n,n,y,1,,Habig,2021,Parasitology - parasites and wildlife,Predictors of helminth parasite infection in female chacma baboons (Papio ursinus),glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
11,y,n,y,y,1,,Kaisin,2021,Conservation biology,A meta-analysis of anthropogenic impacts on physiological stress in wild primates,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
12,NA,NA,NA,n,1,Not relevant; idea/review article,Zimmer,2020,Bioscience,FKBP5: A Key Mediator of How Vertebrates Flexibly Cope with Adversity,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
13,y,y,y,y,1,,Malisch,2020,General and comparative endocrinology,"Living on the edge: Glucocorticoid physiology in desert iguanas (Dipsosaurus dorsalis) is predicted by distance from an anthropogenic disturbance, body condition, and population density",glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
14,y,n,y,y,1,,Chowdhury,2020,Conservation Physiology,Anthropogenic effects on the physiology and behaviour of chacma baboons in the Cape Peninsula of South Africa,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
15,y,y,y,y,1,,Goff,2020,Conservation Physiology,Changes in physiology and microbial diversity in larval ornate chorus frogs are associated with habitat quality,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
16,NA,NA,NA,n,1,Not relevant; validation study,Mohlman,2020,Conservation Physiology,Validation of a noninvasive technique to quantify stress in northern bobwhite (Colinus virginianus),glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
17,y,n,y,y,1,,Stabach,2020,PLoS ONE,"Short-term effects of GPS collars on the activity, behavior, and adrenal response of scimitar-horned oryx (Oryx dammah)",glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
18,NA,NA,NA,n,1,Not relevant; validation study,Zhang,2020,Aquatic Mammals,Aging and Seasonal Serum Cortisol Concentrations in Captive Spotted Seals (Phoca largha) from the Liaodong Bay Colony,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
19,y,y,y,y,1,,Zollinger,2019,Conservation Physiology,Traffic noise exposure depresses plasma corticosterone and delays offspring growth in breeding zebra finches,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
20,y,n,y,y,1,,Tyagi et al.,2019,Conservation Physiology,Physiological stress responses of tigers due to anthropogenic disturbance especially tourism in two central Indian tiger reserves,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
21,y,n,n,y,1,,DeRango et al. ,2019,Conservation Physiology,"Climate variability and life history impact stress, thyroid, and immune markers in California sea lions (Zalophus californianus) during El Nino conditions",glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
22,y,n,y,y,1,,Tecot et al.,2019,Conservation Physiology,Faecal glucocorticoid metabolite profiles in diademed sifakas increase during seasonal fruit scarcity with interactive effects of age/sex class and habitat degradation,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
23,NA,NA,NA,n,1,Not Relevant; Review that tested IUCN endangered classification against GC's,Martin et al.,2018,Integrative and Comparitive Biology,IUCN Conservation Status Does Not Predict Glucocorticoid Concentrations in Reptiles and Birds,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
24,y,n,y,y,1,,Jachowski et al.,2018,Conservation Physiology,Integrating physiological stress into the movement ecology of migratory ungulates: a spatial analysis with mule deer,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
25,n,y,y,n,1,Not Relevent; did not measure GCs,Phelps and Kingston,2018,Conservation Physiology,Environmental and biological context modulates the physiological stress response of bats to human disturbance,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
26,y,y,y,y,1,,Hernandez et al. ,2018,Conservation Physiology,Seasonal changes of faecal cortisol metabolite levels in Gracilinanus agilis (Didelphimorphia: Didelphidae) and its association to life histories variables and parasite loads,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
27,NA,NA,NA,n,1,Not Relevant; review of physiological tools,Madliger et al.,2018,Conservation Physiology,The conservation physiology toolbox: status and opportunities,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
28,y,y,n,y,1,,Lind et al.,2018,Physiological and Biochemical Zoology ,Patterns of Circulating Corticosterone in a Population of Rattlesnakes Afflicted with Snake Fungal Disease: Stress Hormones as a Potential Mediator of Seasonal Cycles in Disease Severity and Outcomes,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
29,y,n,y,y,1,,Lea et al. ,2018,Functional Ecology,"Non-invasive physiological markers demonstrate link between habitat quality, adult sex ratio and poor population growth rate in a vulnerable species, the Cape mountain zebra",glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
30,y,y,n,y,1,,Hunnick et al. ,2017,Conservation Physiology,Being stressed outside the park-conservation of African elephants (Loxodonta africana) in Namibia,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
31,y,y,y,y,1,,Noreikiene et al.,2017,Canadian Journal of Zoology,Nest cover and faecal glucocorticoid metabolites are linked to hatching success and telomere length in breeding Common Eiders (Somateria mollissima),glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
32,y,n,n,y,1,,Nogueira et al.,2017,Acta Ethologica,"The defensive behavioral patterns of captive white-lipped and collared peccary (Mammalia, Tayassuidae): an approach for conservation of the species",glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
33,NA,NA,NA,n,1,Not relevant; review paper,Anderson et al.,2017,General and comparative endocrinology,"Glucocorticoids in tuatara (Sphenodon punctatus): Some influential factors, and applications in conservation management",glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
34,y,y,n,n,1,Not relevant; experiment,Harris et al. ,2017,Oecologia ,An evaluation of feather corticosterone as a biomarker of fitness and an ecologically relevant stressor during breeding in the wild,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
35,n,n,n,n,1,Not relevent; viewed transcriptome response ,Khudyakov et al. ,2017,Scientific Reports,Blubber transcriptome response to acute stress axis activation involves transient changes in adipogenesis and lipolysis in a fasting-adapted marine mammal,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
36,NA,NA,NA,n,1,Not relevant; meta-analysis,Sorenson et al. ,2017,Oecologia ,Effectiveness of baseline corticosterone as a monitoring tool for fitness: a meta-analysis in seabirds,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
37,y,n,y,n,1,Not relevant; artifically stressed assuming stressor implied lower fitness,Carlsson et al.,2016,Conservation Physiology,"Parasites, stress and reindeer: infection with abomasal nematodes is not associated with elevated glucocorticoid levels in hair or faeces",glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
38,y,y,n,n,1,Not Relevant; validation study,Madliger and Love,2016,Ecological Applications,Conservation implications of a lack of relationship between baseline glucocorticoids and fitness in a wild passerine,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
39,y,n,y,y,1,,Casas et al.,2016,Science of Nature,Changes in behaviour and faecal glucocorticoid levels in response to increased human activities during weekends in the pin-tailed sandgrouse,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
40,y,n,n,n,1,Not relevant; validation study,Madliger and Love,2016,Conservation Physiology,Employing individual measures of baseline glucocorticoids as population-level conservation biomarkers: considering within-individual variation in a breeding passerine,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
41,NA,NA,NA,n,1,Not relevant; methods usage study,Watson et al. ,2016,IBIS,Assessing the effects of repeated handling on the physiology and condition of semi-precocial nestlings,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
42,y,y,y,n,1,Not relevant; validation study,Wilkening et al.,2016,Journal of Mammology,Characterizing predictors of survival in the American pika (Ochotona princeps),glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
43,n,y,n,n,1,Not relevant; did not measure GC's,Killen et al.,2016,Conservation Physiology,Context dependency of trait repeatability and its relevance for management and conservation of fish populations,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
44,y,n,y,y,1,,Ordonez-Gomez et al.,2016,PLOS ONE,Proximal and Distal Predictors of the Spider Monkey's Stress Levels in Fragmented Landscapes,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
45,y,y,y,n,1,Not relevant; validation study,Kelm et al.,2016,General and comparative endocrinology,Non-invasive monitoring of stress hormones in the bat Eptesicus isabellinus - Do fecal glucocorticoid metabolite concentrations correlate with survival?,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
46,y,n,n,n,1,Not relevant; viewing sex allocation ,Moore et al.,2015,Journal of Mammology,"High density, maternal condition, and stress are associated with male-biased sex allocation in a marsupial",glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
47,y,n,y,y,1,,Molnar et al.,2015,PLOS ONE,Environmental and Intrinsic Correlates of Stress in Free-Ranging Wolves,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
48,y,y,y,n,1,Not relevant; validation study,Wey et al.,2015,Acta Ethologica,Stress hormone metabolites predict overwinter survival in yellow-bellied marmots,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
49,y,y,n,n,1,Not relevant; GC's were associated with diet types not fitness,Chapman et al.,2015,Philisophical Transactions of the royal society of B-Biological sciences ,"Competing pressures on populations: long-term dynamics of food availability, food quality, disease, stress and animal abundance",glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
50,y,y,y,y,1,,Stabach et al.,2015,Biological Conservation ,Habitat disturbance effects on the physiological stress response in resident Kenyan white-bearded wildebeest (Connochaetes taurinus),glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
51,NA,NA,NA,n,1,Not relevant; experiment,Anderson et al.,2014,General and comparative endocrinology,Modulation of corticosterone secretion in tuatara (Sphenodon punctatus): Evidence of a dampened stress response in gravid females,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
52,NA,NA,NA,n,1,Not relevant; meta-analysis,Dantzer et al.,2014,Conservation Physiology,"Measures of physiological stress: a transparent or opaque window into the status, management and conservation of species?",glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
53,NA,NA,NA,n,1,Not relevant; review,Hing et al.,2014,Conservation Physiology,A review of factors influencing the stress response in Australian marsupials,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
54,y,n,y,y,1,,Tennesen et al.,2014,Conservation Physiology,Traffic noise causes physiological stress and impairs breeding migration behaviour in frogs,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
55,y,n,y,y,1,,Fairhurst et al.,2013,Oecologia ,Can synchronizing feather-based measures of corticosterone and stable isotopes help us better understand habitat-physiology relationships?,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
56,y,y,n,y,1,,Graham et al.,2013,General and comparative endocrinology,Non-invasive monitoring of glucocorticoid physiology within highland and lowland populations of native Australian Great Barred Frog (Mixophyes fasciolatus),glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
57,NA,NA,NA,n,1,Not relevent; Experiment,Homberger et al.,2013,Functional Ecology,"The impact of pre- and post-natal contexts on immunity, glucocorticoids and oxidative stress resistance in wild and domesticated grey partridges",glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
58,y,n,y,y,1,,Eggermann et al.,2013,Annales Zoologici Fennici,"Stress-hormone levels of wolves in relation to breeding season, pack size, human activity, and prey density",glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
59,y,y,y,y,1,,Powell et al.,2011,General and comparative endocrinology,Characterizing gonadal and adrenal activity by fecal steroid analyses in pygmy rabbits (Brachylagus idahoensis),glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
60,y,n,n,y,1,,Foerster and Monfort,2010,Hormones and Behaviour,Fecal glucocorticoids as indicators of metabolic stress in female Sykes' monkeys (Cercopithecus mitis albogularis),glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
61,NA,NA,NA,n,1,Not relevant; review,Blumstein,2010,Animal Welfare,Conservation and animal welfare issues arising from forestry practices,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
62,NA,NA,NA,n,1,Not relevant; review,Busch and Hayward,2009,Biological Conservation ,Stress in a conservation context: A discussion of glucocorticoid actions and how levels change with conservation-relevant variables,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
63,y,y,y,n,1,Not relevant; experiment ,Bonier et al. ,2009,General and comparative endocrinology,The relationship between fitness and baseline glucocorticoids in a passerine bird,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
64,y,n,y,y,1,,Larson et al.,2009,Marine Mammal Science ,Stress-related hormones and genetic diversity in sea otters (Enhydra lutris),glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
65,y,n,n,n,1,Not relevant; experiment ,Monclus et al.,2009,Oecologia ,Testing the threat-sensitive predator avoidance hypothesis: physiological responses and predator pressure in wild rabbits,glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31
