"","uid","study_id","species_name","taxon","origin","location","study_type","life_history_stage","sex","stressor_name","stressor_type","duration","fitness_name","fitness_type","gc_measurement","mean_gc_low","se_gc_low","mean_gc_high","se_gc_high","mean_fitness_low","se_fitness_low","mean_fitness_high","se_fitness_high","n_gc_low","n_gc_high","n_fitness_low","n_fitness_high","fitness_reversed","authors","yr","journal","article_title"
"1",1,3,"heterandria_formosa","fish","wild","field","observational","reproductive","female","predator_presence","predation_risk","days","average_offspring_per_female","reproductive_success","total",5.16,0.17,5.71,0.16,1.92,0.18,0.56,0.21,19,17,NA,NA,"no","Humphrey, E et al.",2019,"Ethology","Under pressure: Short‐ and long‐term response to predation varies in two populations of a live‐bearing fish"
"2",2,7,"taeniopygia_guttata","birds","captive","lab","experimental","reproductive","both","traffic_noise","predation_risk","weeks","offspring_body_mass","reproductive_success","baseline",1629.12,99.74,1296.83,78.15,14.72,0.15,14.49,0.16,88,88,NA,NA,"no","Zollinger, SA et al.",2019,"Conservation Physiology","Traffic noise exposure depresses plasma corticosterone and delays offspring growth in breeding zebra finches"
"3",3,7,"taeniopygia_guttata","birds","captive","lab","experimental","reproductive","both","traffic_noise","predation_risk","weeks","granulocyte_lymphocyte_ratio","immune_function","baseline",1629.12,99.74,1296.83,78.15,0.87,0.08,0.68,0.08,88,88,NA,NA,"no","Zollinger, SA et al.",2019,"Conservation Physiology","Traffic noise exposure depresses plasma corticosterone and delays offspring growth in breeding zebra finches"
"4",4,8,"microtus_oeconomus","mammals","captive","lab","experimental",NA,"both","predator_presence","predation_risk","weeks","survival","survival","fgm",6.17,0.31,7.27,0.43,0.99,0.14,0.77,0.03,18,5,40,40,"no","Shang, G et al.",2019,"Oecologia","Synergistic effects of predation and parasites on the overwinter survival of root voles"
"5",5,8,"microtus_oeconomus","mammals","captive","lab","experimental",NA,"both","predator_presence","predation_risk","months","plasma_protein_concentration","body_condition","fgm",6.17,0.31,7.27,0.43,11.86,3.86,8.69,1.52,18,5,19,11,"no","Shang, G et al.",2019,"Oecologia","Synergistic effects of predation and parasites on the overwinter survival of root voles"
"6",6,8,"microtus_oeconomus","mammals","captive","lab","experimental",NA,"both","predator_presence","predation_risk","months","hematocrit","immune_function","fgm",6.17,0.31,7.27,0.43,56.71,3.3,53.35,4.82,18,5,18,6,"no","Shang, G et al.",2019,"Oecologia","Synergistic effects of predation and parasites on the overwinter survival of root voles"
"7",7,9,"larus_michahellis","birds","wild","field","experimental","adult","both","predator_presence","predation_risk","days","clutch_size","reproductive_success","fgm",1.13,0.08,1.06,0.07,2.85,0.06,2.92,0.05,23,25,33,38,"no","Possenti, C et al.",2019,"Current Zoology","Predation risk affects egg mass but not egg steroid hormone concentrations in yellow-legged gulls"
"8",8,9,"larus_michahellis","birds","wild","field","experimental","adult","both","predator_presence","predation_risk","days","egg_mass","reproductive_success","fgm",1.13,0.08,1.06,0.07,86.27096774,1.787104344,90.66415842,1.985821026,24,25,31,34,"no","Possenti, C et al.",2019,"Current Zoology","Predation risk affects egg mass but not egg steroid hormone concentrations in yellow-legged gulls"
"9",9,16,"thamnophis_marcianus","reptiles","captive","lab","experimental","adult","female","food_limitation","food_limitation","weeks","litter_mass","reproductive_success","total",31.77,7,79.11,17.56,16.27,1.14,16.73,1.13,15,16,10,8,"no","Holden, KG et al.",2019,"Journal of Experimental Biology","Effects of early nutritional stress on physiology, life histories and their trade-offs in a model ectothermic vertebrate"
"10",10,16,"thamnophis_marcianus","reptiles","captive","lab","experimental","adult","female","food_limitation","food_limitation","weeks","heterophil_lymphocyte_ratio","immune_function","total",31.77,7,79.11,17.56,0.04,0.006,0.023,0.006,15,16,NA,NA,"no","Holden, KG et al.",2019,"Journal of Experimental Biology","Effects of early nutritional stress on physiology, life histories and their trade-offs in a model ectothermic vertebrate"
"11",11,17,"fregata_magnificens","birds","wild","lab","experimental","juvenile","both","unsupplemented_vs_supplemented","food_limitation","days","body_condition","body_condition","baseline",5.7,0.5,5.3,0.9,1391,39,1253,31,8,12,NA,NA,"no","Sebastiano, M et al.",2019,"Conservation Letters","﻿Food supplementation protects Magnificent frigatebird chicks against a fatal viral disease"
