"","uid","study_id","origin","location","study_type","sample_type","invasiveness","study_groups","post_hoc_notes","authors","yr","journal","article_title"
"1",1,3,"wild","field","observational","whole_body","invasive","groups","fish were euthanized, frozen and ground up; suggest a third type of invasiveness, 'post-mortem invasive' or 'PM invasive'. I.e., invasive sample type but organisms are euthanized before sampling","Humphrey, E et al.",2019,"Ethology","Under pressure: Short‐ and long‐term response to predation varies in two populations of a live‐bearing fish"
"2",2,7,"captive","lab","experimental","blood","invasive","groups","Blood samples taken from birds in control and experimental group","Zollinger, SA et al.",2019,"Conservation Physiology","Traffic noise exposure depresses plasma corticosterone and delays offspring growth in breeding zebra finches"
"3",3,7,"captive","lab","experimental","blood","invasive","groups","Blood samples taken from birds in control and experimental group","Zollinger, SA et al.",2019,"Conservation Physiology","Traffic noise exposure depresses plasma corticosterone and delays offspring growth in breeding zebra finches"
"4",4,8,"captive","lab","experimental","FCM","non_invasive","groups","predator and non-predator groups, measured corticosterone through faecal samples. Measured hematocrit and other measurements invasively ","Shang, G et al.",2019,"Oecologia","Synergistic effects of predation and parasites on the overwinter survival of root voles"
"5",5,8,"captive","lab","experimental","FCM","non_invasive","groups","predator and non-predator groups, measured corticosterone through faecal samples. Measured hematocrit and other measurements invasively ","Shang, G et al.",2019,"Oecologia","Synergistic effects of predation and parasites on the overwinter survival of root voles"
"6",6,8,"captive","lab","experimental","FCM","non_invasive","groups","predator and non-predator groups, measured corticosterone through faecal samples. Measured hematocrit and other measurements invasively ","Shang, G et al.",2019,"Oecologia","Synergistic effects of predation and parasites on the overwinter survival of root voles"
"7",7,9,"wild","field","experimental","yolk","invasive","groups","predator presence and non-predator presence groups, measured eggs for weight and clutch size. Took 1 egg from nest froze and used yolk hormone assay","Possenti, C et al.",2019,"Current Zoology","Predation risk affects egg mass but not egg steroid hormone concentrations in yellow-legged gulls"
"8",8,9,"wild","field","experimental","yolk","invasive","groups","predator presence and non-predator presence groups, measured eggs for weight and clutch size. Took 1 egg from nest froze and used yolk hormone assay","Possenti, C et al.",2019,"Current Zoology","Predation risk affects egg mass but not egg steroid hormone concentrations in yellow-legged gulls"
"9",9,16,"captive","lab","experimental","blood","invasive","groups","normal and low food treatment groups, blood samples used for corticosterone","Holden, KG et al.",2019,"Journal of Experimental Biology","Effects of early nutritional stress on physiology, life histories and their trade-offs in a model ectothermic vertebrate"
"10",10,16,"captive","lab","experimental","blood","invasive","groups","normal and low food treatment groups, blood samples used for corticosterone","Holden, KG et al.",2019,"Journal of Experimental Biology","Effects of early nutritional stress on physiology, life histories and their trade-offs in a model ectothermic vertebrate"
"11",11,17,"wild","lab","experimental","blood","invasive","groups","disease symptom and non-symptom groups, blood samples of corticosterone","Sebastiano, M et al.",2019,"Conservation Letters","﻿Food supplementation protects Magnificent frigatebird chicks against a fatal viral disease"
"12",12,22,"wild","field","observational","FCM","non_invasive","groups","low and high quality habitat groups, used FCM","Navarro-Castilla, A and Barja, I",2019,"Integrative Zoology","﻿Stressful living in lower-quality habitats? Body mass, feeding behavior and physiological stress levels in wild wood mouse populations"
"13",13,23,"captive","lab","experimental","blood","invasive","groups","high and low stocking density, cortisol measured through blood","Wang, Y-W et al.",2019,"Aquaculture Research","﻿Effects of stocking density on the growth performance, digestive enzyme activities, antioxidant resistance, and intestinal microflora of blunt snout bream (Megalobrama amblycephala) juveniles"
"14",14,23,"captive","lab","experimental","blood","invasive","groups","high and low stocking density, cortisol measured through blood","Wang, Y-W et al.",2019,"Aquaculture Research","﻿Effects of stocking density on the growth performance, digestive enzyme activities, antioxidant resistance, and intestinal microflora of blunt snout bream (Megalobrama amblycephala) juveniles"
"15",15,23,"captive","lab","experimental","blood","invasive","groups","high and low stocking density, cortisol measured through blood","Wang, Y-W et al.",2019,"Aquaculture Research","﻿Effects of stocking density on the growth performance, digestive enzyme activities, antioxidant resistance, and intestinal microflora of blunt snout bream (Megalobrama amblycephala) juveniles"
"16",16,26,"captive","lab","experimental","whole_body","invasive","groups","high and low stocking density, cortisol measured through whole body biochemical assay","Liu, G et al.",2018,"Fish and Shellfish Immunology","﻿Influence of stocking density on growth, digestive enzyme activities, immune responses, antioxidant of Oreochromis niloticus fingerlings in biofloc systems"
"17",17,26,"captive","lab","experimental","whole_body","invasive","groups","high and low stocking density, cortisol measured through whole body biochemical assay","Liu, G et al.",2018,"Fish and Shellfish Immunology","﻿Influence of stocking density on growth, digestive enzyme activities, immune responses, antioxidant of Oreochromis niloticus fingerlings in biofloc systems"
"18",18,28,"wild","lab","experimental","water","non_invasive","groups","high and low stocking density, cortisol measured through water samples","Charbonnier, JF et al.",2018,"Diversity","﻿Cross-Life Stage Effects of Aquatic Larval Density and Terrestrial Moisture on Growth and Corticosterone in the Spotted Salamander"
"19",19,30,"wild","field","observational","blood","invasive","groups","high and low rescource availabilty groups, measured corticosterone and cortisol through blood","Chinn, SM et al.",2018,"Ecology and Evolution","﻿Lactation and resource limitation affect stress responses, thyroid hormones, immune function, and antioxidant capacity of sea otters (Enhydra lutris)"
"20",20,36,"captive","lab","experimental","blood","invasive","groups","high and low stocking density, cortisol measured through blood","Liu et al.",2017,"Acta Oceanology","﻿Stocking density effects on growth and stress response of juvenile turbot (Scophthalmus maximus) reared in land-based recirculating aquaculture system"
"21",21,36,"captive","lab","experimental","blood","invasive","groups","high and low stocking density, cortisol measured through blood","Liu et al.",2017,"Acta Oceanology","﻿Stocking density effects on growth and stress response of juvenile turbot (Scophthalmus maximus) reared in land-based recirculating aquaculture system"
"22",22,37,"wild","field","observational","blood","invasive","temporal","different years that correspond to differing caterpillar abundance for forgaing by blue tits, measured corticosterone through blood","Henderson, LJ et al.",2017,"Royal Society Open Science","﻿Do glucocorticoids predict fitness? Linking environmental conditions, corticosterone and reproductive success in the blue tit, Cyanistes caeruleus"
