"","WOS number","Measured GCs","Measured fitness","Fitness implications of GCs","usable","Notes","Authors","Year","Journal","Article","Keyword set"
"1",1,"y","n","y","y",NA,"Seltmann",2022,"General and comparative endocrinology","Sex-specific links between the social landscape and faecal glucocorticoid metabolites in semi-captive Asian elephants","glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31"
"2",2,"y","n","y","y",NA,"Lamczyk",2022,"Human-wildlife interactions","No difference in corticosterone concentrations between Missouri three-toed box turtles living in an urban and a rural site","glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31"
"3",3,"y","n","y","y",NA,"Barja",2021,"Conservation physiology","Soil pollution by heavy metals correlates with levels of faecal glucocorticoid metabolites of a fossorial amphisbaenian reptile","glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31"
"4",5,"y","y","y","y",NA,"Shidemantle",2022,"Animal conservation","Are glucocorticoids good indicators of disturbance across populations that exhibit cryptic variation in contaminant tolerance?","glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31"
"5",7,"y","n","n","y",NA,"Hinchcliffe",2021,"Journal of wildlife management","Fecal Glucocorticoid Metabolites as Biomarkers in Equids: Assay Choice Matters","glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31"
"6",8,"y","y","y","y",NA,"Rasmussen",2021,"BMC ecology and evolution","An exploratory investigation of glucocorticoids, personality and survival rates in wild and rehabilitated hedgehogs","glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31"
"7",9,"y","n","y","y",NA,"Whipple",2021,"Conservation physiology","Temporal vs. spatial variation in stress-associated metabolites within a population of climate-sensitive small mammals","glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31"
"8",10,"y","n","n","y",NA,"Habig",2021,"Parasitology - parasites and wildlife","Predictors of helminth parasite infection in female chacma baboons (Papio ursinus)","glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31"
"9",11,"y","n","y","y",NA,"Kaisin",2021,"Conservation biology","A meta-analysis of anthropogenic impacts on physiological stress in wild primates","glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31"
"10",13,"y","y","y","y",NA,"Malisch",2020,"General and comparative endocrinology","Living on the edge: Glucocorticoid physiology in desert iguanas (Dipsosaurus dorsalis) is predicted by distance from an anthropogenic disturbance, body condition, and population density","glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31"
"11",14,"y","n","y","y",NA,"Chowdhury",2020,"Conservation Physiology","Anthropogenic effects on the physiology and behaviour of chacma baboons in the Cape Peninsula of South Africa","glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31"
"12",15,"y","y","y","y",NA,"Goff",2020,"Conservation Physiology","Changes in physiology and microbial diversity in larval ornate chorus frogs are associated with habitat quality","glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31"
"13",17,"y","n","y","y",NA,"Stabach",2020,"PLoS ONE","Short-term effects of GPS collars on the activity, behavior, and adrenal response of scimitar-horned oryx (Oryx dammah)","glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31"
"14",19,"y","y","y","y",NA,"Zollinger",2019,"Conservation Physiology","Traffic noise exposure depresses plasma corticosterone and delays offspring growth in breeding zebra finches","glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31"
"15",20,"y","n","y","y",NA,"Tyagi et al.",2019,"Conservation Physiology","Physiological stress responses of tigers due to anthropogenic disturbance especially tourism in two central Indian tiger reserves","glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31"
"16",21,"y","n","n","y",NA,"DeRango et al.",2019,"Conservation Physiology","Climate variability and life history impact stress, thyroid, and immune markers in California sea lions (Zalophus californianus) during El Nino conditions","glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31"
"17",22,"y","n","y","y",NA,"Tecot et al.",2019,"Conservation Physiology","Faecal glucocorticoid metabolite profiles in diademed sifakas increase during seasonal fruit scarcity with interactive effects of age/sex class and habitat degradation","glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31"
"18",24,"y","n","y","y",NA,"Jachowski et al.",2018,"Conservation Physiology","Integrating physiological stress into the movement ecology of migratory ungulates: a spatial analysis with mule deer","glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31"
"19",26,"y","y","y","y",NA,"Hernandez et al.",2018,"Conservation Physiology","Seasonal changes of faecal cortisol metabolite levels in Gracilinanus agilis (Didelphimorphia: Didelphidae) and its association to life histories variables and parasite loads","glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31"
"20",28,"y","y","n","y",NA,"Lind et al.",2018,"Physiological and Biochemical Zoology","Patterns of Circulating Corticosterone in a Population of Rattlesnakes Afflicted with Snake Fungal Disease: Stress Hormones as a Potential Mediator of Seasonal Cycles in Disease Severity and Outcomes","glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31"
"21",29,"y","n","y","y",NA,"Lea et al.",2018,"Functional Ecology","Non-invasive physiological markers demonstrate link between habitat quality, adult sex ratio and poor population growth rate in a vulnerable species, the Cape mountain zebra","glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31"
"22",30,"y","y","n","y",NA,"Hunnick et al.",2017,"Conservation Physiology","Being stressed outside the park-conservation of African elephants (Loxodonta africana) in Namibia","glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31"
"23",31,"y","y","y","y",NA,"Noreikiene et al.",2017,"Canadian Journal of Zoology","Nest cover and faecal glucocorticoid metabolites are linked to hatching success and telomere length in breeding Common Eiders (Somateria mollissima)","glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31"
"24",32,"y","n","n","y",NA,"Nogueira et al.",2017,"Acta Ethologica","The defensive behavioral patterns of captive white-lipped and collared peccary (Mammalia, Tayassuidae): an approach for conservation of the species","glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31"
