"","uid","study_id","species_name","taxon","origin","location","study_type","life_history_stage","sex","stressor_name","stressor_type","duration","fitness_name","fitness_type","gc_measurement","mean_gc_low","se_gc_low","mean_gc_high","se_gc_high","mean_fitness_low","se_fitness_low","mean_fitness_high","se_fitness_high","n_gc_low","n_gc_high","n_fitness_low","n_fitness_high","fitness_reversed","authors","yr","journal","article_title","sd_gc_low","sd_gc_high","sd_fitness_low","sd_fitness_high","yi_f","vi_f","yi_gc","vi_gc","lifespan"
"1",1,3,"heterandria_formosa","fish","wild","field","observational","adult","female","predator_presence","predation_risk","days","average_offspring_per_female","reproductive_success","total",5.16,0.17,5.71,0.16,1.92,0.18,0.56,0.21,19,17,19,17,"no","Humphrey, E et al.",2019,"Ethology","Under pressure: Short‐ and long‐term response to predation varies in two populations of a live‐bearing fish",0.741012820401915,0.659696900098826,0.784601809837321,0.865852181379709,-1.61408353154015,0.147639353453426,0.763956736422839,0.11956107912477,NA
"2",2,7,"taeniopygia_guttata","birds","captive","lab","experimental","adult",NA,"traffic_noise","predation_risk","weeks","offspring_body_mass","reproductive_success","baseline",1629.12,99.74,1296.83,78.15,14.72,0.15,14.49,0.16,88,88,88,88,"no","Zollinger, SA et al.",2019,"Conservation Physiology","Traffic noise exposure depresses plasma corticosterone and delays offspring growth in breeding zebra finches",935.644135769578,733.111983260402,1.40712472794703,1.5009330431435,-0.15741633517414,0.0227976701777831,-0.393640692967373,0.0231674800998859,12
"3",3,7,"taeniopygia_guttata","birds","captive","lab","experimental","adult",NA,"traffic_noise","predation_risk","weeks","granulocyte_lymphocyte_ratio","immune_function","baseline",1629.12,99.74,1296.83,78.15,0.87,0.08,0.68,0.08,88,88,88,88,"no","Zollinger, SA et al.",2019,"Conservation Physiology","Traffic noise exposure depresses plasma corticosterone and delays offspring growth in breeding zebra finches",935.644135769578,733.111983260402,0.750466521571749,0.750466521571749,-0.252082742837907,0.0229078003103315,-0.393640692967373,0.0231674800998859,12
"4",4,8,"microtus_oeconomus","mammals","captive","lab","experimental",NA,NA,"predator_presence","predation_risk","weeks","survival","survival","fgm",6.17,0.31,7.27,0.43,0.99,0.14,0.77,0.03,18,5,40,40,"no","Shang, G et al.",2019,"Oecologia","Synergistic effects of predation and parasites on the overwinter survival of root voles",1.31521861300698,0.96150923032491,0.885437744847146,0.189736659610103,-0.340266196301493,0.0507236317771593,0.844378341118975,0.271055007358834,NA
"5",5,8,"microtus_oeconomus","mammals","captive","lab","experimental",NA,NA,"predator_presence","predation_risk","months","plasma_protein_concentration","body_condition","fgm",6.17,0.31,7.27,0.43,11.86,3.86,8.69,1.52,18,5,19,11,"no","Shang, G et al.",2019,"Oecologia","Synergistic effects of predation and parasites on the overwinter survival of root voles",1.31521861300698,0.96150923032491,16.825349922067,5.04126968134021,-0.223126807446413,0.144370429393146,0.844378341118975,0.271055007358834,NA
"6",6,8,"microtus_oeconomus","mammals","captive","lab","experimental",NA,NA,"predator_presence","predation_risk","months","hematocrit","immune_function","fgm",6.17,0.31,7.27,0.43,56.71,3.3,53.35,4.82,18,5,18,6,"no","Shang, G et al.",2019,"Oecologia","Synergistic effects of predation and parasites on the overwinter survival of root voles",1.31521861300698,0.96150923032491,14.0007142674936,11.8065405602149,-0.239698464747244,0.223419208763934,0.844378341118975,0.271055007358834,NA
"7",7,9,"larus_michahellis","birds","wild","field","experimental","adult",NA,"predator_presence","predation_risk","days","clutch_size","reproductive_success","fgm",1.13,0.08,1.06,0.07,2.85,0.06,2.92,0.05,23,25,33,38,"no","Possenti, C et al.",2019,"Current Zoology","Predation risk affects egg mass but not egg steroid hormone concentrations in yellow-legged gulls",0.383666521865018,0.35,0.344673758792282,0.308220700148449,0.212618586522097,0.0569371765607614,-0.18786840028251,0.083845912284406,19.2
"8",8,9,"larus_michahellis","birds","wild","field","experimental","adult",NA,"predator_presence","predation_risk","days","egg_mass","reproductive_success","fgm",1.13,0.08,1.06,0.07,86.27096774,1.787104344,90.66415842,1.985821026,24,25,31,34,"no","Possenti, C et al.",2019,"Current Zoology","Predation risk affects egg mass but not egg steroid hormone concentrations in yellow-legged gulls",0.391918358845308,0.35,9.95017587918192,11.5792268743783,0.400647504140009,0.0629045863187315,-0.185596914315294,0.0820181586524152,19.2
"9",9,16,"thamnophis_marcianus","reptiles","captive","lab","experimental","adult","female","food_limitation","food_limitation","weeks","litter_mass","reproductive_success","total",31.77,7,79.11,17.56,16.27,1.14,16.73,1.13,15,16,10,8,"no","Holden, KG et al.",2019,"Journal of Experimental Biology","Effects of early nutritional stress on physiology, life histories and their trade-offs in a model ectothermic vertebrate",27.1108834234519,70.24,3.60499653259195,3.19612265096319,0.12762888558887,0.225452475901018,0.855125595508354,0.140960856732691,7
"10",10,16,"thamnophis_marcianus","reptiles","captive","lab","experimental","adult","female","food_limitation","food_limitation","weeks","heterophil_lymphocyte_ratio","immune_function","total",31.77,7,79.11,17.56,0.04,0.006,0.023,0.006,15,16,15,16,"no","Holden, KG et al.",2019,"Journal of Experimental Biology","Effects of early nutritional stress on physiology, life histories and their trade-offs in a model ectothermic vertebrate",27.1108834234519,70.24,0.0232379000772445,0.024,-0.700476586526729,0.13708065776783,0.855125595508354,0.140960856732691,7
"11",11,17,"fregata_magnificens","birds","wild","lab","experimental","juvenile",NA,"unsupplemented_vs_supplemented","food_limitation","days","body_condition","body_condition","baseline",5.7,0.5,5.3,0.9,1391,39,1253,31,8,12,8,12,"no","Sebastiano, M et al.",2019,"Conservation Letters","﻿Food supplementation protects Magnificent frigatebird chicks against a fatal viral disease",1.4142135623731,3.11769145362398,110.308657865101,107.38715006927,-1.21765406574985,0.245400368929262,-0.147792490378561,0.208879398838641,34
"12",12,22,"apodemus_sylvaticus","mammals","wild","field","observational","juvenile",NA,"habitat_quality","food_limitation","years","body_mass","body_condition","fgm",2.85,0.12,3.15,0.15,17.32,0.26,13.3,0.64,66,27,66,27,"no","Navarro-Castilla, A and Barja, I",2019,"Integrative Zoology","﻿Stressful living in lower-quality habitats? Body mass, feeding behavior and physiological stress levels in wild wood mouse populations",0.974884608556315,0.779422863405995,2.11224998520535,3.32553755053224,-1.5825182300826,0.0656528744925509,0.322245206364208,0.0527468423661044,6.3
